"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.271246000E0,-4.256444089E-3,2.746994505E-3,1.288843274E-2,1.384828486E-2
1.281256000E0,-5.501270620E-3,-2.682547225E-3,1.004434705E-2,1.176218286E-2
1.291266000E0,-1.917055333E-3,-6.873680656E-3,1.648271620E-2,1.796113917E-2
1.301276000E0,-1.563381013E-3,2.549541341E-3,2.172182143E-2,2.192673818E-2
1.311286000E0,-5.782046607E-3,-3.005322665E-3,9.446761608E-3,1.147629436E-2
1.321295000E0,-3.102139765E-3,3.558976329E-3,1.648505509E-2,1.714778776E-2
1.331305000E0,-1.431124303E-3,-3.239905648E-3,2.217381120E-2,2.245491056E-2
1.341315000E0,-6.355640190E-3,-8.226146204E-3,9.901090264E-3,1.435601728E-2
1.351325000E0,-4.328236934E-3,-6.120636938E-3,1.214700580E-2,1.427394764E-2
1.361335000E0,1.473681070E-4,-1.348148659E-3,2.127801776E-2,2.132119279E-2
1.371345000E0,-8.712543184E-3,8.338220883E-4,1.573895037E-2,1.800883746E-2
1.381354000E0,-3.815609710E-3,2.576356307E-3,1.214642107E-2,1.298968953E-2
1.391364000E0,-2.099442780E-3,-6.021846402E-3,2.037988544E-2,2.135439122E-2
1.401374000E0,1.139266016E-3,-3.719911803E-3,1.289720356E-2,1.347121118E-2
1.411384000E0,-2.870480390E-3,-4.581841640E-5,1.394560933E-2,1.423803977E-2
1.421394000E0,-7.119524097E-3,-2.995281899E-4,2.322981834E-2,2.429818513E-2
1.431403000E0,-1.078244839E-3,1.488125520E-3,7.365152836E-3,7.590955526E-3
1.441413000E0,8.889412321E-4,-3.025838169E-3,9.610483646E-3,1.011470756E-2
1.451423000E0,-2.492814213E-3,-6.934496267E-3,2.008693993E-2,2.139594627E-2
1.461433000E0,-4.521332094E-3,-3.348289272E-3,1.619269431E-2,1.714225288E-2
1.471443000E0,-7.825904293E-3,-6.327911597E-3,1.724051535E-2,1.996303115E-2
